detector,event,n,hit,base,edge,fwd12,mfe,mae,edge_by_strength
wyckoff,UPTHRUST,20,0.65,0.49250000000000005,0.15749999999999997,1.0420242636868746,2.719828339600073,2.4173647822128683,-
ob_taught,OB_RETEST,1074,0.48324022346368717,0.34525139664804466,0.1379888268156425,-0.027762607596804635,2.1615544271183946,2.2075327973967678,-
fvg_n,IFVG_RETEST,3847,0.4710163763971926,0.3531193137509749,0.11789706264621774,0.005013546266671069,2.250966587306381,2.11167879042669,-
ob_taught,BRK_RETEST,346,0.47109826589595377,0.35823699421965316,0.11286127167630061,-0.2475184928970258,2.0673157503909394,2.1407279088531506,-
fvg_n,FVG_N_RETEST,4252,0.4654280338664158,0.3548095014111007,0.11061853245531511,-0.05489353711597776,2.2209774529329795,2.21082671345182,-
propulsion2,PROPULSION2,654,0.47706422018348627,0.37232415902140675,0.10474006116207951,-0.06408614262428441,2.293112223330997,2.264891394022051,-
fvg,CE_HOLD,5917,0.4767618725705594,0.39277505492648307,0.08398681764407634,-0.06659910908335968,2.2649728957654696,2.3114587687980195,-
ob_taught,MIT_RETEST,560,0.44285714285714284,0.3611607142857143,0.08169642857142856,0.0011810240861229347,2.2234948699100787,2.088029286421609,-
sweep,SWEEP,2013,0.5052160953800298,0.45062096373571786,0.0545951316443119,0.034660542626692985,2.375884621377601,2.382630045152031,+0.05/+0.05/+0.06
orderblock,OB_RETEST,9443,0.4784496452398602,0.4253309329662183,0.0531187122736419,0.02333505690112915,2.2837739918220863,2.321671874097566,+0.08/+0.05/+0.02
wyckoff,PHASE,7216,0.4844789356984479,0.4347630266075388,0.049715909090909116,0.09297039559348927,2.421748121988028,2.2888779027450745,-
fvg,BPR,715,0.4811188811188811,0.4381118881118881,0.04300699300699301,-0.17287992067186217,2.2415930721703123,2.3523936422537535,-
compression,BOX_ON_LEVEL,2603,0.48021513638109875,0.4861890126776796,-0.00597387629658086,0.10071435314036918,2.213520903921879,2.0789504188274237,-
htf_nest,NEST,1385,0.46498194945848376,0.5176895306859206,-0.05270758122743685,-0.03675979682523346,2.716052972405425,2.6065106661796085,-0.03/-0.02/-0.11
wyckoff,SPRING,17,0.29411764705882354,0.45294117647058824,-0.1588235294117647,0.13080685939065018,2.315234660340616,2.406062646970027,-
liquidity,POOL_NEAR,2803,,,,1.7538832245525797,2.206689935391326,2.2363788901415984,-
premium_discount,,1109,,,,1.8031063163461538,2.1122411272694643,2.3263372989765787,-
